,0
0,0.5641413
1,0.5713305
2,0.54928297
3,0.50723034
4,0.45805475
5,0.4173376
6,0.40430266
7,0.37540472
8,0.3516765
9,0.34141648
10,0.36066914
11,0.39205557
12,0.4119071
13,0.42711213
14,0.43816897
15,0.43736592
16,0.440867
17,0.47409564
18,0.5009373
19,0.50496143
20,0.50276434
21,0.5005011
22,0.49736786
23,0.4967535
24,0.4996662
25,0.49759325
26,0.5008299
27,0.4942422
28,0.49497676
29,0.49657762
30,0.49088594
31,0.49657646
32,0.491118
33,0.496039
34,0.49629208
35,0.48983353
36,0.49459976
37,0.49435264
38,0.49022153
39,0.48917913
40,0.49209622
41,0.49029896
42,0.48828894
43,0.48631367
44,0.48202845
45,0.48236665
46,0.48155522
47,0.47758168
48,0.47747394
49,0.47655
50,0.47711527
51,0.4797314
52,0.4726946
53,0.4691581
54,0.47308758
55,0.4664817
56,0.4631544
57,0.4686269
58,0.4662368
59,0.46442443
60,0.46614954
61,0.46560788
62,0.46259302
63,0.45717236
64,0.45806658
65,0.45826876
66,0.4601935
67,0.46099573
68,0.46033555
69,0.46298274
70,0.46129313
71,0.46008727
72,0.45917118
73,0.46396258
74,0.46486515
75,0.46011043
76,0.4648536
77,0.47052854
78,0.47295076
79,0.47694406
80,0.47875038
81,0.48048443
82,0.48307428
83,0.48418424
84,0.49149603
85,0.49647355
86,0.4896826
87,0.48925617
88,0.49527952
89,0.4934222
90,0.49574468
91,0.49548838
92,0.49430084
93,0.49799725
94,0.4925507
95,0.49500412
96,0.49862254
97,0.49815428
98,0.5004854
99,0.49875823
100,0.49827436
101,0.499509
102,0.50064355
103,0.50366443
104,0.5031575
105,0.5024277
106,0.50254184
107,0.505265
108,0.50837195
109,0.5068479
110,0.5083124
111,0.507092
112,0.50866127
113,0.51004857
114,0.51074797
115,0.51281726
116,0.5094379
117,0.5056833
118,0.49627382
119,0.48385003
120,0.47738218
121,0.4785629
122,0.4722954
123,0.45879444
124,0.44717944
125,0.4279219
126,0.40829614
127,0.3876746
128,0.3641612
129,0.36023822
130,0.35094047
131,0.31839457
132,0.29161394
133,0.2603904
134,0.2286711
135,0.2139015
136,0.16456094
137,0.17249855
138,0.13958783
139,0.26698223
