,0
0,0.5262961
1,0.46191642
2,0.40451258
3,0.349472
4,0.3055243
5,0.26324916
6,0.2430369
7,0.24710484
8,0.25593063
9,0.2801476
10,0.32184753
11,0.36617538
12,0.39991224
13,0.4154522
14,0.42095488
15,0.43254805
16,0.45750487
17,0.4869701
18,0.50264066
19,0.50110805
20,0.50069934
21,0.50368553
22,0.4981814
23,0.4999459
24,0.5054987
25,0.4980451
26,0.49724218
27,0.50105655
28,0.49589998
29,0.49630225
30,0.49946657
31,0.50187635
32,0.5038989
33,0.4994125
34,0.4947718
35,0.48901123
36,0.48790097
37,0.49858564
38,0.49895483
39,0.49091455
40,0.49430016
41,0.49848047
42,0.49364486
43,0.48847923
44,0.4895008
45,0.49093527
46,0.48471525
47,0.47864252
48,0.47670242
49,0.47407404
50,0.4746061
51,0.47753888
52,0.47670242
53,0.4744755
54,0.47108072
55,0.46512505
56,0.46070445
57,0.4614355
58,0.46410733
59,0.4632805
60,0.46070445
61,0.46062532
62,0.46096894
63,0.46076754
64,0.46070445
65,0.461682
66,0.4639623
67,0.46312806
68,0.45910466
69,0.46057713
70,0.4655466
71,0.4646846
72,0.46390405
73,0.47104585
74,0.4761833
75,0.47420347
76,0.4735028
77,0.479902
78,0.48953757
79,0.49293303
80,0.49110058
81,0.49492067
82,0.50318056
83,0.5083707
84,0.50869834
85,0.5073305
86,0.5077548
87,0.5092917
88,0.51029813
89,0.51067036
90,0.50939095
91,0.5090908
92,0.5118979
93,0.5127736
94,0.5102615
95,0.5112881
96,0.5134977
97,0.5121538
98,0.51364225
99,0.5180394
100,0.5182971
101,0.51691467
102,0.51684755
103,0.5168455
104,0.5182971
105,0.5201344
106,0.51899177
107,0.51852936
108,0.5182971
109,0.5148489
110,0.5116974
111,0.5061753
112,0.49430016
113,0.48667273
114,0.48818058
115,0.4893483
116,0.4831016
117,0.4734124
118,0.46587527
119,0.4613557
120,0.46070445
121,0.46038154
122,0.45793933
123,0.46349096
124,0.46390405
125,0.44362807
126,0.41904566
127,0.38763887
128,0.34391937
129,0.3066204
130,0.27636018
131,0.2545241
132,0.23353349
133,0.21671928
134,0.23932135
135,0.2912636
136,0.36631653
137,0.4422507
138,0.47126698
139,0.5275131
