,0
0,0.43224326
1,0.34678966
2,0.3154177
3,0.30612424
4,0.29649663
5,0.31775075
6,0.3703602
7,0.3979531
8,0.4180744
9,0.45178318
10,0.4553853
11,0.46299332
12,0.46366984
13,0.46973503
14,0.47603694
15,0.46383846
16,0.4627717
17,0.4724478
18,0.45542592
19,0.45807213
20,0.46059582
21,0.4558518
22,0.46532845
23,0.46493483
24,0.4595074
25,0.4561149
26,0.45248735
27,0.45547524
28,0.45114315
29,0.4506193
30,0.44916442
31,0.45149437
32,0.4531787
33,0.45390922
34,0.443504
35,0.44299924
36,0.44549912
37,0.44901693
38,0.44642904
39,0.457631
40,0.45978835
41,0.45194557
42,0.4642869
43,0.47008374
44,0.47497815
45,0.47450608
46,0.4687004
47,0.47139585
48,0.4807304
49,0.47933906
50,0.48363423
51,0.4802263
52,0.47439972
53,0.48501194
54,0.47961763
55,0.474496
56,0.4797108
57,0.47564214
58,0.4728498
59,0.47638598
60,0.48070946
61,0.48305076
62,0.47355956
63,0.48445988
64,0.48202455
65,0.48512873
66,0.48298416
67,0.47970763
68,0.48515677
69,0.4921916
70,0.49315533
71,0.4928942
72,0.5058664
73,0.49276826
74,0.49847406
75,0.49981296
76,0.49384996
77,0.4954532
78,0.49966508
79,0.5039091
80,0.49664396
81,0.4949063
82,0.49774766
83,0.48967525
84,0.48912093
85,0.49567115
86,0.48224816
87,0.4960228
88,0.4872278
89,0.48630908
90,0.48592466
91,0.48784062
92,0.48993367
93,0.49488345
94,0.4949165
95,0.5011968
96,0.5037471
97,0.522758
98,0.518434
99,0.53613544
100,0.532686
101,0.54526705
102,0.5440188
103,0.5493381
104,0.56185246
105,0.55654263
106,0.54108757
107,0.5377256
108,0.5148871
109,0.49743155
110,0.492994
111,0.48273832
112,0.47003746
113,0.45965457
114,0.45006004
115,0.45358184
116,0.45476818
117,0.450818
118,0.45589674
119,0.45499787
120,0.4520392
121,0.4581567
122,0.4569947
123,0.446656
124,0.45194414
125,0.4624599
126,0.46287832
127,0.45076358
128,0.47390217
129,0.49178118
130,0.51563555
131,0.5213469
132,0.5095302
133,0.51775885
134,0.5079568
135,0.486785
136,0.4946661
137,0.49780622
138,0.4911998
139,0.4398845
