,0
0,0.38074487
1,0.2526417
2,0.19113337
3,0.17005141
4,0.20710394
5,0.2581503
6,0.31421754
7,0.33168882
8,0.34649962
9,0.3865032
10,0.40223134
11,0.3987716
12,0.4005581
13,0.4000293
14,0.40167138
15,0.4018579
16,0.4054277
17,0.40259144
18,0.40882215
19,0.4065163
20,0.40559518
21,0.4057778
22,0.40516442
23,0.40775022
24,0.40049842
25,0.39890218
26,0.40308267
27,0.3988131
28,0.39614174
29,0.39613998
30,0.3953761
31,0.39648542
32,0.39528263
33,0.39816067
34,0.39895573
35,0.39703724
36,0.39934748
37,0.40279162
38,0.40881768
39,0.40608814
40,0.41147906
41,0.41826293
42,0.42065462
43,0.43066594
44,0.43405223
45,0.43533078
46,0.44370565
47,0.44452623
48,0.44753835
49,0.44821382
50,0.45107105
51,0.4551368
52,0.44810092
53,0.45507306
54,0.45458174
55,0.4541493
56,0.45606878
57,0.45331004
58,0.46226525
59,0.46501732
60,0.46010333
61,0.46055707
62,0.46201822
63,0.46516156
64,0.47112748
65,0.4705216
66,0.4742524
67,0.47767478
68,0.4814362
69,0.4829006
70,0.4843764
71,0.4872727
72,0.49317476
73,0.49601775
74,0.5001108
75,0.49885458
76,0.5020676
77,0.4988037
78,0.49989077
79,0.5003951
80,0.498057
81,0.49960995
82,0.4973813
83,0.49842447
84,0.49474952
85,0.4954198
86,0.49557012
87,0.49354327
88,0.49797255
89,0.49429566
90,0.49479818
91,0.49456048
92,0.4939397
93,0.49718216
94,0.49691436
95,0.5033799
96,0.5101131
97,0.52261287
98,0.5277114
99,0.5368096
100,0.5481317
101,0.55830425
102,0.5734208
103,0.5782501
104,0.5698276
105,0.5743158
106,0.5623536
107,0.551233
108,0.54246926
109,0.5297425
110,0.51800096
111,0.5037838
112,0.48691455
113,0.47626814
114,0.47615668
115,0.47999847
116,0.47541445
117,0.4765306
118,0.47504333
119,0.47769293
120,0.47659934
121,0.4724838
122,0.4737596
123,0.4744011
124,0.4754186
125,0.47796357
126,0.4803899
127,0.4850549
128,0.4944087
129,0.51569945
130,0.5511173
131,0.5638078
132,0.5709967
133,0.58974916
134,0.5942338
135,0.57752895
136,0.54438096
137,0.5188349
138,0.5287557
139,0.48214757
