,0
0,0.42640567
1,0.27612174
2,0.20624226
3,0.18522677
4,0.17695874
5,0.22040215
6,0.29114097
7,0.33014607
8,0.3566351
9,0.40647385
10,0.432585
11,0.43386507
12,0.43319052
13,0.4298877
14,0.4307806
15,0.43532297
16,0.43201476
17,0.4310464
18,0.4337316
19,0.43296903
20,0.43007335
21,0.4298791
22,0.42542303
23,0.4227451
24,0.42162037
25,0.41995904
26,0.41951144
27,0.41529188
28,0.41253
29,0.40938357
30,0.40761703
31,0.4035605
32,0.39877117
33,0.39640477
34,0.39934295
35,0.39745346
36,0.3974257
37,0.39654547
38,0.40101117
39,0.40144908
40,0.40678188
41,0.41610488
42,0.41879028
43,0.42511097
44,0.43090874
45,0.43661776
46,0.44404596
47,0.44980583
48,0.44953915
49,0.4523464
50,0.45372662
51,0.45645276
52,0.4594332
53,0.45599338
54,0.46092966
55,0.46353924
56,0.46136326
57,0.4639972
58,0.46499035
59,0.46798503
60,0.4652536
61,0.46716878
62,0.4723074
63,0.47100887
64,0.47293395
65,0.47565228
66,0.4795306
67,0.48401508
68,0.48715395
69,0.48851472
70,0.49256867
71,0.4942923
72,0.49360573
73,0.499396
74,0.49980637
75,0.5005805
76,0.5048234
77,0.5020617
78,0.5000933
79,0.4990005
80,0.49899948
81,0.49801236
82,0.49585038
83,0.4973976
84,0.49504665
85,0.49288696
86,0.4958194
87,0.48847604
88,0.49025753
89,0.48865065
90,0.48828346
91,0.48677245
92,0.48702672
93,0.4864763
94,0.48986092
95,0.4926203
96,0.4999368
97,0.50836957
98,0.5239514
99,0.5305489
100,0.547407
101,0.5621268
102,0.58117473
103,0.58916974
104,0.584691
105,0.5825213
106,0.57717365
107,0.5648418
108,0.5536688
109,0.53741103
110,0.51659375
111,0.4946061
112,0.47116092
113,0.45916983
114,0.45411447
115,0.44848862
116,0.4448209
117,0.44536206
118,0.44084072
119,0.44209212
120,0.443984
121,0.44203553
122,0.4418549
123,0.4448936
124,0.44535097
125,0.4414873
126,0.44435933
127,0.45487955
128,0.46241334
129,0.49204752
130,0.5258516
131,0.53805876
132,0.5482757
133,0.5461802
134,0.54555416
135,0.5309823
136,0.52163327
137,0.5169215
138,0.5273518
139,0.43324757
