,0
0,0.24063623
1,0.014781617
2,0.22398065
3,0.17802379
4,0.20063542
5,0.25047
6,0.14120027
7,0.3881259
8,0.4258163
9,0.15161426
10,0.43885723
11,0.53408796
12,0.5282592
13,-0.121365346
14,0.3448678
15,0.4016519
16,0.51162565
17,0.27396587
18,0.2582128
19,-0.1669469
20,0.39542007
21,0.49387997
22,0.46103212
23,0.5187938
24,0.51669544
25,0.43113098
26,0.33650264
27,0.31805012
28,0.51762795
29,0.2239129
30,0.42892286
31,0.4663099
32,0.4590338
33,0.48871917
34,0.47383466
35,0.22104198
36,0.077229574
37,0.23499642
38,0.34498292
39,0.38308138
40,0.2867082
41,0.47116
42,0.49666882
43,0.38268209
44,0.38232356
45,0.30311507
46,0.20770472
47,0.4879764
48,0.37250733
49,0.2632001
50,0.3964896
51,0.54084307
52,0.3472911
53,0.48771983
54,0.42796153
55,0.057941973
56,0.3761858
57,0.4789061
58,0.17854127
59,0.5233984
60,0.34202462
61,0.57981735
62,0.5905449
63,0.55058724
64,0.4025341
65,0.53613186
66,0.21757996
67,0.5231184
68,-0.02058655
69,-0.012319401
70,0.31357634
71,0.42916584
72,0.58747244
73,0.17055395
74,0.12919693
75,0.3065722
76,0.09737104
77,0.59956276
78,0.520933
79,0.330426
80,0.27953035
81,0.15720162
82,0.5114869
83,0.18791685
84,-0.039111115
85,0.092641845
86,0.5859989
87,0.5639093
88,0.37834293
89,0.32781115
90,0.40174395
91,0.58733314
92,0.38419524
93,0.35347956
94,0.3823179
95,-0.0958583
96,0.14810377
97,0.5414439
98,0.11828533
99,0.3395114
100,0.4005717
101,0.17366758
102,0.36183932
103,0.08165132
104,0.54500526
105,-0.096865095
106,-0.10186007
107,0.44169033
108,-0.00011678785
109,0.5335836
110,0.4086082
111,0.4739046
112,0.14503786
113,0.27418762
114,0.24189246
115,0.40974087
116,0.45096716
117,0.036862135
118,0.4094426
119,0.49059072
120,0.31786495
121,-0.05995527
122,0.27380872
123,0.5003679
124,0.52821916
125,-0.017895423
126,0.49578798
127,0.5035951
128,0.49024266
129,0.47182024
130,0.39097616
131,0.4094362
132,0.25999683
133,0.5125319
134,0.4728406
135,0.059382986
136,-0.0453291
137,0.12390175
138,0.49375448
139,-0.057499252
