,0
0,0.43229988
1,0.4080923
2,0.40495443
3,0.39103505
4,0.38359466
5,0.37621072
6,0.37314656
7,0.3798891
8,0.3875301
9,0.40164343
10,0.42178035
11,0.44042838
12,0.45253265
13,0.4552066
14,0.4569057
15,0.4651386
16,0.47674018
17,0.4861912
18,0.4901331
19,0.48854312
20,0.487299
21,0.48939407
22,0.49097922
23,0.49353403
24,0.49559695
25,0.49252245
26,0.49277642
27,0.4959512
28,0.49282172
29,0.4912045
30,0.4941455
31,0.49298492
32,0.49173743
33,0.49444932
34,0.49354488
35,0.49099913
36,0.49353865
37,0.49463984
38,0.49259117
39,0.49304655
40,0.4935073
41,0.4924037
42,0.49277923
43,0.49563912
44,0.4974163
45,0.49443755
46,0.49238023
47,0.4937305
48,0.4929198
49,0.4929685
50,0.49665582
51,0.49870658
52,0.49753538
53,0.49621114
54,0.49861634
55,0.50244254
56,0.5042999
57,0.50679654
58,0.50331295
59,0.49309263
60,0.49321017
61,0.5027462
62,0.507185
63,0.5080824
64,0.50924367
65,0.5073321
66,0.50418705
67,0.5022492
68,0.49943438
69,0.49769312
70,0.49728835
71,0.4963755
72,0.4981865
73,0.50057685
74,0.5014241
75,0.50367993
76,0.5042159
77,0.50359637
78,0.50430053
79,0.5019356
80,0.49814403
81,0.49848878
82,0.5018191
83,0.50357044
84,0.5010637
85,0.49754748
86,0.4982249
87,0.5013962
88,0.5022818
89,0.50229126
90,0.5039131
91,0.50584364
92,0.5083618
93,0.509825
94,0.50597745
95,0.49751613
96,0.4895056
97,0.48761111
98,0.49003747
99,0.48951042
100,0.48793462
101,0.4889447
102,0.48798263
103,0.48371023
104,0.48033026
105,0.4791195
106,0.4806788
107,0.4844586
108,0.48500034
109,0.4813752
110,0.4779067
111,0.47305882
112,0.46620527
113,0.46184897
114,0.4608671
115,0.46188325
116,0.4644606
117,0.4665147
118,0.46628398
119,0.46347767
120,0.45636395
121,0.44265088
122,0.4263602
123,0.4121736
124,0.39519954
125,0.3785659
126,0.3714144
127,0.36248764
128,0.34040073
129,0.30626807
130,0.26422593
131,0.23125741
132,0.20126265
133,0.17350413
134,0.17100663
135,0.18645388
136,0.24017668
137,0.30140674
138,0.31365654
139,0.38961685
