,0
0,0.39013574
1,0.25682393
2,0.20433575
3,0.1544468
4,0.1499104
5,0.20034862
6,0.25077152
7,0.29532084
8,0.33049738
9,0.36215982
10,0.38651657
11,0.37246352
12,0.3804665
13,0.39728162
14,0.38507414
15,0.39269057
16,0.39326245
17,0.3633711
18,0.38387403
19,0.38579667
20,0.30297983
21,0.38268435
22,0.3879463
23,0.38847816
24,0.38109556
25,0.38133645
26,0.3739938
27,0.378531
28,0.3746763
29,0.36265236
30,0.3253987
31,0.3560201
32,0.35732934
33,0.35964605
34,0.35580772
35,0.38708448
36,0.3913217
37,0.36470968
38,0.3921926
39,0.38030383
40,0.3841852
41,0.37496018
42,0.37778446
43,0.37880173
44,0.358502
45,0.40778297
46,0.38585135
47,0.39200312
48,0.41626185
49,0.43903264
50,0.41120592
51,0.4052289
52,0.41040736
53,0.41425762
54,0.38833085
55,0.42415234
56,0.42623565
57,0.40850395
58,0.3104633
59,0.43657935
60,0.41754758
61,0.43222424
62,0.35844767
63,0.42269608
64,0.38886344
65,0.42711228
66,0.43639892
67,0.44324625
68,0.41063935
69,0.4209145
70,0.42154872
71,0.43070206
72,0.45087406
73,0.46076748
74,0.44236696
75,0.28099394
76,0.4692694
77,0.4439361
78,0.45495757
79,0.36304975
80,0.42671317
81,0.42409107
82,0.39673615
83,0.435552
84,0.2726726
85,0.4006176
86,0.2168937
87,0.42225528
88,0.43568838
89,0.4464721
90,0.42023346
91,0.40279013
92,0.36190408
93,0.4394291
94,0.41969532
95,0.4192226
96,0.45617878
97,0.46216056
98,0.4533485
99,0.4729948
100,0.4893092
101,0.5108097
102,0.5010519
103,0.53362215
104,0.48489255
105,0.4898153
106,0.5015065
107,0.50011367
108,0.4978577
109,0.49813434
110,0.46667868
111,0.4406948
112,0.4240641
113,0.40105417
114,0.3918253
115,0.39576647
116,0.4203543
117,0.42302328
118,0.39711052
119,0.13964063
120,0.39967954
121,0.41550398
122,0.38068658
123,0.40446913
124,0.40335286
125,0.40488008
126,0.42389098
127,0.394818
128,0.40475073
129,0.13894379
130,0.3697998
131,0.4612669
132,0.47642237
133,0.47602406
134,0.46127316
135,0.43627408
136,0.45571622
137,0.33879954
138,0.43327516
139,0.3500899
