,0
0,0.39870742
1,0.30796835
2,0.24633303
3,0.2006671
4,0.16424902
5,0.16338818
6,0.20563607
7,0.28379717
8,0.36288977
9,0.37406126
10,0.40737554
11,0.44629163
12,0.44404468
13,0.44335246
14,0.44735602
15,0.4423334
16,0.44188327
17,0.44333196
18,0.447325
19,0.440414
20,0.4497045
21,0.44670746
22,0.44900185
23,0.45962963
24,0.44967538
25,0.4537342
26,0.4530748
27,0.45615146
28,0.45640343
29,0.45108056
30,0.45665216
31,0.4571313
32,0.4611758
33,0.4566894
34,0.45680588
35,0.45878315
36,0.46356943
37,0.46457165
38,0.46496126
39,0.4670944
40,0.46853378
41,0.4648
42,0.4719897
43,0.4746651
44,0.47838423
45,0.47397146
46,0.46916193
47,0.47423658
48,0.47220743
49,0.4785416
50,0.4762936
51,0.48047268
52,0.48105663
53,0.4759841
54,0.47416586
55,0.4760701
56,0.46632552
57,0.4700196
58,0.4668899
59,0.46379614
60,0.46542904
61,0.47113824
62,0.46804872
63,0.4655222
64,0.4685415
65,0.47197026
66,0.47183192
67,0.4694095
68,0.46708724
69,0.4656894
70,0.47321516
71,0.47007117
72,0.47791457
73,0.47515273
74,0.47249562
75,0.47733012
76,0.47964042
77,0.48157313
78,0.49019346
79,0.49020272
80,0.49225435
81,0.49740207
82,0.49358717
83,0.48725998
84,0.4912904
85,0.4948235
86,0.48636746
87,0.482538
88,0.49144408
89,0.49082553
90,0.4942722
91,0.49715889
92,0.5067078
93,0.51807296
94,0.53031915
95,0.54419774
96,0.5614971
97,0.5860526
98,0.60514766
99,0.6203638
100,0.61618096
101,0.6128226
102,0.5977058
103,0.5774015
104,0.5735007
105,0.554548
106,0.53703403
107,0.5068533
108,0.4769754
109,0.4681928
110,0.45350838
111,0.43929493
112,0.43628588
113,0.43887645
114,0.43748298
115,0.4374762
116,0.4420113
117,0.44538867
118,0.44677362
119,0.44718194
120,0.45121267
121,0.44821805
122,0.4441536
123,0.44237748
124,0.44913426
125,0.4546174
126,0.46208653
127,0.48064283
128,0.5184231
129,0.554666
130,0.5364182
131,0.49380583
132,0.43179867
133,0.3650421
134,0.34386227
135,0.34483805
136,0.37828684
137,0.4244263
138,0.41601998
139,0.33283776
