,0
0,0.40676147
1,0.33459964
2,0.3100608
3,0.2865353
4,0.28683653
5,0.27785027
6,0.27639368
7,0.29277694
8,0.32221556
9,0.36354655
10,0.39517394
11,0.40623072
12,0.4087591
13,0.41834292
14,0.43014058
15,0.44731778
16,0.47285458
17,0.48450658
18,0.48274606
19,0.48637733
20,0.48497722
21,0.48002866
22,0.48514253
23,0.48175007
24,0.48084688
25,0.490771
26,0.48876116
27,0.48939997
28,0.49009427
29,0.48830745
30,0.49221942
31,0.48869628
32,0.48991528
33,0.4922739
34,0.48653936
35,0.48497722
36,0.48307347
37,0.48143592
38,0.4865687
39,0.487262
40,0.4835288
41,0.48166206
42,0.47766516
43,0.47993088
44,0.47924417
45,0.47194126
46,0.47932076
47,0.48513848
48,0.47859943
49,0.47870967
50,0.48063192
51,0.4759518
52,0.47382167
53,0.4719413
54,0.46641982
55,0.4661475
56,0.47109112
57,0.4722896
58,0.4687889
59,0.47025236
60,0.47483814
61,0.47086808
62,0.46649063
63,0.46954647
64,0.46796352
65,0.46469906
66,0.46850726
67,0.4673628
68,0.4637082
69,0.46747443
70,0.4690444
71,0.46931383
72,0.47581226
73,0.47738683
74,0.4744305
75,0.47483814
76,0.47779557
77,0.4834214
78,0.4816324
79,0.4820209
80,0.48932254
81,0.48720056
82,0.4885808
83,0.4954412
84,0.49881738
85,0.50091004
86,0.4985219
87,0.500151
88,0.5074409
89,0.50968224
90,0.5096007
91,0.510007
92,0.50768113
93,0.50695604
94,0.50841874
95,0.50815225
96,0.51217186
97,0.5182336
98,0.51658684
99,0.51374984
100,0.51394606
101,0.5114731
102,0.5133017
103,0.51990116
104,0.518745
105,0.5168429
106,0.522927
107,0.5232371
108,0.5170675
109,0.51997274
110,0.5240851
111,0.51849043
112,0.5150771
113,0.5148996
114,0.5070047
115,0.4980132
116,0.498317
117,0.50351524
118,0.50649047
119,0.5064013
120,0.50091004
121,0.4926226
122,0.48700747
123,0.47931123
124,0.473142
125,0.4835288
126,0.49165064
127,0.47556642
128,0.4581839
129,0.4305176
130,0.37924108
131,0.33104667
132,0.28269753
133,0.22785069
134,0.1890948
135,0.17211413
136,0.20777068
137,0.2873004
138,0.33594397
139,0.4378372
