,0
0,0.4324983
1,0.33796114
2,0.27687585
3,0.23675945
4,0.25632125
5,0.28987932
6,0.36323816
7,0.38160694
8,0.4099386
9,0.44363508
10,0.45212066
11,0.45749038
12,0.45885134
13,0.4580764
14,0.46339902
15,0.4581713
16,0.4593026
17,0.46115887
18,0.45893055
19,0.46007335
20,0.4623521
21,0.45785517
22,0.45395923
23,0.44650754
24,0.45989263
25,0.4494404
26,0.44790876
27,0.44880205
28,0.4526777
29,0.44912684
30,0.44078222
31,0.44560447
32,0.43706828
33,0.4358682
34,0.4423076
35,0.44117594
36,0.43535233
37,0.43143743
38,0.43740815
39,0.43898687
40,0.44457138
41,0.45386022
42,0.45127305
43,0.46065488
44,0.45865273
45,0.46741116
46,0.47186077
47,0.4713291
48,0.46896487
49,0.4705637
50,0.47563082
51,0.47686127
52,0.47105178
53,0.47269347
54,0.47645667
55,0.47387993
56,0.480761
57,0.47749102
58,0.47390464
59,0.4755257
60,0.47130567
61,0.4764378
62,0.48188803
63,0.48137105
64,0.48281977
65,0.48078504
66,0.48092237
67,0.48159143
68,0.48545626
69,0.48788854
70,0.4948208
71,0.49612978
72,0.49724296
73,0.50244325
74,0.49734053
75,0.49406713
76,0.49723566
77,0.49866962
78,0.4963245
79,0.49592024
80,0.49513605
81,0.494241
82,0.49894938
83,0.49682465
84,0.4934714
85,0.4892439
86,0.48074314
87,0.4864059
88,0.48475486
89,0.48297876
90,0.4852447
91,0.48431903
92,0.48305058
93,0.48410428
94,0.49222472
95,0.49870756
96,0.5173762
97,0.50825316
98,0.5200395
99,0.5288011
100,0.54623413
101,0.55030257
102,0.54994833
103,0.5679014
104,0.56060743
105,0.5582822
106,0.55247796
107,0.5422444
108,0.52434355
109,0.5098707
110,0.48848483
111,0.4675467
112,0.45759043
113,0.45604125
114,0.45504284
115,0.44184422
116,0.44818503
117,0.4507369
118,0.4529912
119,0.44051018
120,0.45235434
121,0.45329145
122,0.44548735
123,0.4416797
124,0.44611418
125,0.4505091
126,0.4409695
127,0.44980618
128,0.47191855
129,0.5018936
130,0.51589465
131,0.5279237
132,0.52372175
133,0.5234795
134,0.53020036
135,0.4946822
136,0.4914716
137,0.48714817
138,0.49284312
139,0.4348211
