,0
0,0.48782519
1,0.340031
2,0.19256929
3,0.13268387
4,0.12977724
5,0.16229157
6,0.22545041
7,0.3257873
8,0.37875414
9,0.3814595
10,0.43547437
11,0.4557792
12,0.44838095
13,0.4518932
14,0.44574094
15,0.45166755
16,0.44845226
17,0.45289135
18,0.46011838
19,0.44841668
20,0.44954273
21,0.44517127
22,0.44792822
23,0.45093557
24,0.4384556
25,0.4454811
26,0.4432456
27,0.44269875
28,0.44455197
29,0.4365949
30,0.43780586
31,0.4284147
32,0.42759115
33,0.42271844
34,0.41376284
35,0.41902283
36,0.4187667
37,0.41959694
38,0.42232767
39,0.42461437
40,0.42553443
41,0.43083423
42,0.4322717
43,0.43452966
44,0.4377398
45,0.44959757
46,0.45090005
47,0.45375046
48,0.46219608
49,0.4657811
50,0.4644278
51,0.46761557
52,0.46309286
53,0.4685388
54,0.46634853
55,0.47239918
56,0.4692052
57,0.46520603
58,0.47184697
59,0.47226074
60,0.46772155
61,0.4655436
62,0.46565118
63,0.46926934
64,0.4691538
65,0.47087368
66,0.48317978
67,0.48421377
68,0.4784551
69,0.4828873
70,0.48506403
71,0.48722795
72,0.48925668
73,0.48917204
74,0.48675564
75,0.49711546
76,0.49271098
77,0.4969467
78,0.49484304
79,0.49120104
80,0.49647048
81,0.48980802
82,0.4939465
83,0.49554247
84,0.48281032
85,0.4886803
86,0.48144904
87,0.4879306
88,0.48786482
89,0.48948002
90,0.48534954
91,0.47886494
92,0.4907159
93,0.4919951
94,0.49591666
95,0.50687945
96,0.520929
97,0.5365724
98,0.54646665
99,0.55298316
100,0.5715677
101,0.57987136
102,0.5970749
103,0.589555
104,0.58192277
105,0.5783661
106,0.5618475
107,0.55832213
108,0.5346816
109,0.51283586
110,0.49488044
111,0.46732357
112,0.45344195
113,0.43831298
114,0.44041806
115,0.44793072
116,0.44166777
117,0.43979162
118,0.4411101
119,0.44298905
120,0.44302002
121,0.44530392
122,0.45120132
123,0.44356313
124,0.4379503
125,0.4470078
126,0.44390598
127,0.45365226
128,0.47323582
129,0.5038872
130,0.5132326
131,0.5102241
132,0.5260901
133,0.5125494
134,0.5094055
135,0.5025156
136,0.51641047
137,0.5276983
138,0.45626572
139,0.2662947
