,0
0,0.42977673
1,0.29598913
2,0.2198646
3,0.17569223
4,0.19248706
5,0.23733348
6,0.31746835
7,0.35308942
8,0.3772491
9,0.42267656
10,0.43976498
11,0.44230843
12,0.44421226
13,0.44366086
14,0.4458307
15,0.44359115
16,0.4446343
17,0.44496018
18,0.44301397
19,0.44324362
20,0.44242254
21,0.4403719
22,0.4378742
23,0.43473858
24,0.4372388
25,0.43272382
26,0.43080765
27,0.42952198
28,0.42875385
29,0.4262857
30,0.42086354
31,0.421178
32,0.41665837
33,0.4146477
34,0.41594696
35,0.4141543
36,0.41301155
37,0.41255128
38,0.4159967
39,0.41906458
40,0.42383742
41,0.4300589
42,0.43358254
43,0.44069508
44,0.4443081
45,0.45039463
46,0.45566425
47,0.45795763
48,0.4588266
49,0.4612706
50,0.46358517
51,0.4653248
52,0.46422207
53,0.4657046
54,0.46761277
55,0.4666384
56,0.46998444
57,0.4692983
58,0.46883303
59,0.47001296
60,0.4696663
61,0.47184774
62,0.47514334
63,0.47538397
64,0.47824728
65,0.4789195
66,0.48051697
67,0.48283827
68,0.48613968
69,0.48853278
70,0.4927891
71,0.49522138
72,0.4971599
73,0.5000486
74,0.49832883
75,0.49816084
76,0.49902585
77,0.49983397
78,0.49863106
79,0.49838758
80,0.49763316
81,0.49658978
82,0.49719337
83,0.4955331
84,0.4933447
85,0.49101666
86,0.48806176
87,0.48906705
88,0.48797914
89,0.48672044
90,0.4870577
91,0.48546028
92,0.48602954
93,0.48602363
94,0.4905474
95,0.4956324
96,0.50748235
97,0.51103896
98,0.5232663
99,0.5329618
100,0.54730797
101,0.557418
102,0.5669564
103,0.5788791
104,0.5763615
105,0.5728976
106,0.5657325
107,0.55407286
108,0.53898704
109,0.52243257
110,0.50423056
111,0.48427734
112,0.46606156
113,0.4561907
114,0.45221218
115,0.44599736
116,0.44580856
117,0.4459027
118,0.4465898
119,0.4420811
120,0.44644716
121,0.447109
122,0.4437302
123,0.44276252
124,0.44502226
125,0.44733328
126,0.4455734
127,0.4513866
128,0.46700522
129,0.49562582
130,0.52229583
131,0.53419966
132,0.5355388
133,0.53659904
134,0.5367594
135,0.5161566
136,0.51102144
137,0.5081942
138,0.5120254
139,0.43753886
