,0
0,0.54699844
1,0.58158416
2,0.49031997
3,0.3478369
4,0.24749024
5,0.1445256
6,0.13919881
7,0.2166384
8,0.3068507
9,0.32151496
10,0.37626943
11,0.45544705
12,0.45611006
13,0.44957566
14,0.44424695
15,0.45109397
16,0.4484257
17,0.4567959
18,0.45271838
19,0.44585723
20,0.43903536
21,0.44954482
22,0.435436
23,0.43267
24,0.43347123
25,0.41985607
26,0.4180026
27,0.42695504
28,0.42011255
29,0.41189817
30,0.40949118
31,0.40091842
32,0.3873373
33,0.38572758
34,0.38502753
35,0.37525958
36,0.36994168
37,0.3705179
38,0.36026517
39,0.36848918
40,0.36728716
41,0.37489158
42,0.3752878
43,0.379578
44,0.39421657
45,0.39866063
46,0.4112328
47,0.41896468
48,0.43149602
49,0.44856563
50,0.44800285
51,0.4550931
52,0.45404568
53,0.46183586
54,0.4681799
55,0.46447885
56,0.4658899
57,0.46882036
58,0.469965
59,0.47248927
60,0.4801321
61,0.47163463
62,0.4796188
63,0.4836854
64,0.47982877
65,0.47779068
66,0.48405498
67,0.4786228
68,0.48697382
69,0.49177775
70,0.50039047
71,0.5003761
72,0.49782604
73,0.51073307
74,0.5061412
75,0.5030832
76,0.5101422
77,0.5013694
78,0.4996611
79,0.5026989
80,0.5041024
81,0.5140013
82,0.5020741
83,0.50786895
84,0.4923123
85,0.50336254
86,0.49753225
87,0.5012111
88,0.49705052
89,0.49552816
90,0.48927146
91,0.48292494
92,0.48969632
93,0.48605853
94,0.48207307
95,0.482691
96,0.47543198
97,0.47573584
98,0.48021927
99,0.48376778
100,0.47861853
101,0.47997606
102,0.48547223
103,0.47850737
104,0.48657373
105,0.5059718
106,0.534189
107,0.560378
108,0.5586307
109,0.5502321
110,0.5427162
111,0.5356765
112,0.52336174
113,0.5179373
114,0.5183208
115,0.5023083
116,0.46190378
117,0.44855455
118,0.4431755
119,0.45064905
120,0.44315016
121,0.44379362
122,0.44700024
123,0.45244625
124,0.4420044
125,0.43742934
126,0.4385887
127,0.4435986
128,0.45064747
129,0.4553449
130,0.45298094
131,0.4983186
132,0.53735036
133,0.52756065
134,0.5833743
135,0.6176489
136,0.63173723
137,0.59887105
138,0.52871126
139,0.5723685
